generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Ethambutol,General,0.0,999.0,0.0,9.0,0.0,15.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.0,0.6
Flucloxacillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.2777777777777778,0.0
Flucloxacillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.005025125628140704,0.2777777777777778,0.0
Flucloxacillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.2777777777777778,0.0
Fusidic Acid,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Gentamicin,General,0.0,999.0,0.0,20.0,0.0,2.5,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.016080402010050253,0.0,0.1
Gentamicin,General,0.0,39.5,21.0,30.0,89.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.02613065326633166,0.0061805555555555555,0.0
Gentamicin,General,39.6,49.5,21.0,30.0,89.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.02613065326633166,0.0061805555555555555,0.0
Gentamicin,General,49.6,59.5,21.0,30.0,100.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.02613065326633166,0.006944444444444444,0.0
Gentamicin,General,59.6,69.5,21.0,30.0,120.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.02613065326633166,0.008333333333333333,0.0
Gentamicin,General,69.6,80.99,21.0,30.0,120.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.02613065326633166,0.008333333333333333,0.0
